Model,Accuracy,Macro_F1,Weighted_F1,Class_0_F1,Class_1_F1,Timestamp
roberta-base,0.8125,0.7986239301896292,0.8125,0.8514851485148515,0.7457627118644068,2026-02-18 17:53:58
distilbert-base-uncased,0.80625,0.7823702338642446,0.8012938221227678,0.8544600938967136,0.7102803738317757,2026-02-18 17:51:05
bert-base-uncased,0.78125,0.7565111526588113,0.7768843210574372,0.8341232227488151,0.6788990825688074,2026-02-18 17:49:15
xlm-roberta-base,0.76875,0.7524980141310256,0.7691463898992433,0.8159203980099502,0.6890756302521008,2026-02-18 17:46:04
Word + Character N-grams,0.75625,0.744,0.7587,0.8,0.688,2026-02-18 17:54:46
All Features Combined,0.75625,0.744,0.7587,0.8,0.688,2026-02-18 17:54:52
Weighted Ensemble,0.75,0.7274740248679952,0.7480412195537387,0.8058252427184466,0.6491228070175439,2026-02-18 17:54:36
Random Oversampling,0.7375,0.7265625,0.74091796875,0.78125,0.671875,2026-02-18 17:55:06
SMOTE Oversampling,0.7375,0.7265625,0.74091796875,0.78125,0.671875,2026-02-18 17:55:04
Character N-grams (3-5),0.7375,0.7265625,0.74091796875,0.78125,0.671875,2026-02-18 17:54:40
TF-IDF + Sentiment Features,0.7375,0.7265625,0.74091796875,0.78125,0.671875,2026-02-18 17:54:50
Tuned Logistic Regression,0.73125,0.7207678883071553,0.7349694589877835,0.774869109947644,0.6666666666666666,2026-02-18 17:55:13
Tuned Random Forest,0.73125,0.7177435897435898,0.7339512820512821,0.7794871794871795,0.656,2026-02-18 17:55:18
TF-IDF + Statistical Features,0.725,0.7163120567375887,0.7293439716312056,0.7659574468085106,0.6666666666666666,2026-02-18 17:54:49
Text Augmentation,0.73125,0.7160661961949568,0.7333018653790598,0.7817258883248731,0.6504065040650406,2026-02-18 17:55:07
Class Weight Balanced,0.725,0.7149797570850203,0.7290080971659918,0.7684210526315789,0.6615384615384615,2026-02-18 17:55:03
Random Undersampling,0.71875,0.7105062120541996,0.7233298821921114,0.7593582887700535,0.6616541353383458,2026-02-18 17:55:07
Tuned SVM,0.725,0.7085610200364298,0.7267304189435337,0.7777777777777778,0.639344262295082,2026-02-18 17:55:25
Stacking Ensemble,0.71875,0.6896417949049528,0.7145916849864218,0.784688995215311,0.5945945945945946,2026-02-18 17:54:30
Baseline (Imbalanced),0.73125,0.688955196889552,0.7190633618156336,0.8036529680365296,0.5742574257425742,2026-02-18 17:55:00
Tuned Gradient Boosting,0.725,0.6764111049825335,0.7093261628975915,0.8018018018018018,0.5510204081632653,2026-02-18 17:55:31
Voting Ensemble (Soft),0.70625,0.6730292621418323,0.7003875168485586,0.7772511848341233,0.5688073394495413,2026-02-18 17:54:08
